Organization short name,Organization long name,Country,Partner,Type
Fudan University,Fudan University,CHINA,CCSA,INDIVIDUAL MEMBERS
Fujitsu Limited,Fujitsu Limited,JAPAN,ETSI,INDIVIDUAL MEMBERS
Fujitsu Limited,Fujitsu Limited.,JAPAN,TTC,INDIVIDUAL MEMBERS
Fujitsu Limited,Fujitsu Limited..,JAPAN,ARIB,INDIVIDUAL MEMBERS
Futurewei,Futurewei Technologies Inc.,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Futurewei Technologies,Futurewei Technologies,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
G+D MS,Giesecke+Devrient Mobile Security Germany GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Gatehouse Satcom A/S,Gatehouse Satcom A/S ,DENMARK,ETSI,INDIVIDUAL MEMBERS
GDCNI,Guangdong Communications and Networks Institute,CHINA,CCSA,INDIVIDUAL MEMBERS
GE Network Technologies  LLC,GE Network Technologies  LLC,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
GEESPACE,ZHE JIANG GEESPACE TECHNOLOGY CO.  LTD.,CHINA,CCSA,INDIVIDUAL MEMBERS
Gigaset Technologies,Gigaset Technologies GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Gilat,Gilat Satellite Networks Ltd,ISRAEL,ETSI,INDIVIDUAL MEMBERS
GIST,Gwangju Institute of Science and Technology,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
GLOBALSTAR Inc.,GLOBALSTAR Inc.,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
GM - ATCI,General Motors - ATCI,ISRAEL,ETSI,INDIVIDUAL MEMBERS
Google Ireland Limited,Google Ireland Limited,IRELAND,ETSI,INDIVIDUAL MEMBERS
Google Korea LLC,Google Korea LLC,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Group 2000,Group 2000 Nederland B.V.,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
GTRC,Georgia Tech Research Corporation,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
GUANGDONG GENIUS TECHNOLOGY CO,GUANGDONG GENIUS TECHNOLOGY CO.  LTD.  ,CHINA,CCSA,INDIVIDUAL MEMBERS
Guangdong OPPO Mobile Telecom.,Guangdong OPPO Mobile Telecommunications Corp.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
GW,Greenerwave,FRANCE,ETSI,INDIVIDUAL MEMBERS
HA/ST,HARTING Stiftung & Co. KG,GERMANY,ETSI,INDIVIDUAL MEMBERS
Hanbat National University,Hanbat National University,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Hangzhou Mengyuxiang,Hangzhou Mengyuxiang Network Technology Corp.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Harman GmbH,Harman Becker Automotive Systems GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
HEAD acoustics GmbH,HEAD acoustics GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Hewlett-Packard Enterprise,Hewlett-Packard Enterprise,FRANCE,ETSI,INDIVIDUAL MEMBERS
HiSilicon Technologies Co. Ltd,HiSilicon Technologies Co.Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
HISPASAT SA,HISPASAT SA,SPAIN,ETSI,INDIVIDUAL MEMBERS
HOME OFFICE,HOME OFFICE,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Honda Motor Co.  Ltd,Honda Motor Co.  Ltd,JAPAN,ARIB,INDIVIDUAL MEMBERS
Honor,Honor Device Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Honor,Honor Device Co.  Ltd,CHINA,ETSI,INDIVIDUAL MEMBERS
HTC Communications Co.  Ltd.,HTC Communications Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Huawei Device Co.  Ltd,Huawei Device Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
HUAWEI TECH. GmbH,HUAWEI TECHNOLOGIES Duesseldorf GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Huawei Tech.(UK) Co.. Ltd,Huawei Technologies (UK) Co.  Ltd.,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Huawei Technologies (Korea),Huawei Technologies (Korea),KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
HUAWEI TECHNOLOGIES Co. Ltd.,Huawei Technologies Co. Ltd.,CHINA,ETSI,INDIVIDUAL MEMBERS
HuaWei Technologies Co.  Ltd,HuaWei Technologies Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
Huawei Technologies France,Huawei Technologies France,FRANCE,ETSI,INDIVIDUAL MEMBERS
Huawei Technologies Japan K.K.,Huawei Technologies Japan K.K.,JAPAN,TTC,INDIVIDUAL MEMBERS
HUAWEI Technologies Japan K.K.,HUAWEI Technologies Japan K.K.,JAPAN,ARIB,INDIVIDUAL MEMBERS
Huawei Technologies R&D UK,Huawei Technologies Research & Development (UK) Limited,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Huawei Technologies Sweden AB,Huawei Technologies Sweden AB,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Huawei Telecommunication India,Huawei Telecommunication (India) Co. Pvt. Ltd.,INDIA,TSDSI,INDIVIDUAL MEMBERS
Husqvarna AB,Husqvarna AB (publ),SWEDEN,ETSI,INDIVIDUAL MEMBERS
Hytera Communications Corp.,Hytera Communications Corporation Limited,CHINA,CCSA,INDIVIDUAL MEMBERS
Hyundai Motor Company,Hyundai Motor Company,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
IBM Europe,IBM Europe,GERMANY,ETSI,INDIVIDUAL MEMBERS
ICS,Institute for Communication Systems - University of Surrey,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
IDEMIA,IDEMIA,FRANCE,ETSI,INDIVIDUAL MEMBERS
IDRBT,Institute for Development and Research in Banking Technology,INDIA,TSDSI,INDIVIDUAL MEMBERS
III,Institute for Information Industry,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
IIIT Bangalore,International Institute of Information Technology - Bangalore,INDIA,TSDSI,INDIVIDUAL MEMBERS
IIIT Naya Raipur,International Institute of Information Technology  Naya Raipur,INDIA,TSDSI,INDIVIDUAL MEMBERS
IISc  Bangalore,Indian Institute of Science  Bangalor,INDIA,TSDSI,INDIVIDUAL MEMBERS
IIT Bhilai,Indian Institute of Technology Bhilai,INDIA,TSDSI,INDIVIDUAL MEMBERS
IIT Bombay,Indian Institute of Technology Bombay,INDIA,TSDSI,INDIVIDUAL MEMBERS
IIT Delhi,Indian Institute of Technology Delhi,INDIA,TSDSI,INDIVIDUAL MEMBERS
IIT Gandhinagar,Indian Institute of Technology Gandhinagar,INDIA,TSDSI,INDIVIDUAL MEMBERS
IIT JODHPUR,Indian Institute of Technology Jodhpur,INDIA,TSDSI,INDIVIDUAL MEMBERS
IIT Kanpur,Indidan Institute of Technology Kanpur,INDIA,TSDSI,INDIVIDUAL MEMBERS
IIT Mandi,Indian Institute of Technology Mandi,INDIA,TSDSI,INDIVIDUAL MEMBERS
IIT Patna,Indian Institute of Technology Patna,INDIA,TSDSI,INDIVIDUAL MEMBERS
IIT  Kharagpur,IIT  Kharagpur,INDIA,TSDSI,INDIVIDUAL MEMBERS
IMDA,Infocomm Media Development Authority,SINGAPORE,ETSI,INDIVIDUAL MEMBERS
Imperial College London,Imperial College of Science Technology and Medicine,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
IMU,Istanbul Medipol University,TÜRKIYE,ETSI,INDIVIDUAL MEMBERS
Indian Institute of Tech (H),Indian Institute of Technology Hyderabad,INDIA,TSDSI,INDIVIDUAL MEMBERS
Indian Institute of Tech (M),Indian Institute of Technology Madras,INDIA,TSDSI,INDIVIDUAL MEMBERS
INFINEON TECHNOLOGIES,Infineon Technologies,GERMANY,ETSI,INDIVIDUAL MEMBERS
Inmarsat,Inmarsat,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Institut Mines-Telecom,Institut Mines-Telecom,FRANCE,ETSI,INDIVIDUAL MEMBERS
Institute VEDECOM,Institute VEDECOM,FRANCE,ETSI,INDIVIDUAL MEMBERS
Intel,Intel,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Intel Belgium SA/NV,Intel Belgium SA/NV,BELGIUM,ETSI,INDIVIDUAL MEMBERS
Intel China Ltd.,Intel China Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Intel Corporation (UK) Ltd,Intel Corporation (UK) Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Intel Corporation Italia SpA,Intel Corporation Italia SpA,ITALY,ETSI,INDIVIDUAL MEMBERS
Intel Corporation SAS,Intel Corporation SAS,FRANCE,ETSI,INDIVIDUAL MEMBERS
Intel Deutschland GmbH,Intel Deutschland GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Intel Ireland,Intel Ireland Ltd,IRELAND,ETSI,INDIVIDUAL MEMBERS
Intel Sweden AB,Intel Sweden AB,SWEDEN,ETSI,INDIVIDUAL MEMBERS
Intel Technology India Pvt Ltd,Intel Technology India Pvt. Ltd.,INDIA,TSDSI,INDIVIDUAL MEMBERS
Intel Technology Poland SP Zoo,Intel Technology Poland SP Zoo,POLAND,ETSI,INDIVIDUAL MEMBERS
Intellian Technologies,Intellian Technologies,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Intelsat,Intelsat,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
InterDigital Belgium. LLC,InterDigital Belgium  LLC,BELGIUM,ETSI,INDIVIDUAL MEMBERS
InterDigital Canada,InterDigital Canada,CANADA,ATIS,INDIVIDUAL MEMBERS
InterDigital Communications,InterDigital Communications Corporation,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
InterDigital Finland Oy,InterDigital Finland Oy,FINLAND,ETSI,INDIVIDUAL MEMBERS
InterDigital France R&D  SAS,InterDigital France R&D  SAS,FRANCE,ETSI,INDIVIDUAL MEMBERS
InterDigital New York,InterDigital New York,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
InterDigital Pennsylvania,InterDigital Pennsylvania,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
InterDigital  Europe  Ltd.,InterDigital  Europe  Ltd.,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
InterDigital  Inc.,InterDigital  Inc.,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Intersec,Intersec SA,FRANCE,ETSI,INDIVIDUAL MEMBERS
Intertek,Intertek,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
IPCom GmbH & Co.KG,IPCom GmbH & Co.KG,GERMANY,ETSI,INDIVIDUAL MEMBERS
IPLOOK,IPLOOK Networks Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
iQoo,iQoo Software Technology (Shanghai) Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Iridium Satellite LLC,Iridium Satellite LLC,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
IRT Saint Exupery,Institut de recherche technologique Saint Exupery,FRANCE,ETSI,INDIVIDUAL MEMBERS
ISED,Innovation  Science and Economic Development Canada,CANADA,ETSI,INDIVIDUAL MEMBERS
ISRO,Indian Space Research Organisation,INDIA,TSDSI,INDIVIDUAL MEMBERS
ISSDU,Information Security Service Digital United Inc.,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
ITL,Innovative Technology Lab Co.  Ltd,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
ITOCHU Techno-Solutions Corp,ITOCHU Techno-Solutions Corporation,JAPAN,TTC,INDIVIDUAL MEMBERS
ITRI,Industrial Technology Research Institute,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
ITRON SAS,ITRON SAS,FRANCE,ETSI,INDIVIDUAL MEMBERS
Ittiam System Pvt Ltd,Ittiam System Pvt Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
Japan Radio Co.  Ltd,Japan Radio Co.  Ltd,JAPAN,ARIB,INDIVIDUAL MEMBERS
Jetflow,Jetflow Technologies Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
Jio,Jio Estonia OÜ,ESTONIA,ETSI,INDIVIDUAL MEMBERS
JMA Wireless,JMA Wireless,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
John Deere GmbH & Co. KG,John Deere GmbH & Co. KG,GERMANY,ETSI,INDIVIDUAL MEMBERS
Johns Hopkins University APL,Johns Hopkins University Applied Physics Laboratory,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
JSI GmbH,JSI GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Juniper Networks,Juniper Networks,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
KAIST,Korea Advanced Institute of Science and Technology,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Kapsch TrafficCom AG,Kapsch TrafficCom AG,AUSTRIA,ETSI,INDIVIDUAL MEMBERS
KDDI Corporation,KDDI Corporation,JAPAN,TTC,INDIVIDUAL MEMBERS
KDDI Corporation,KDDI Corporation,JAPAN,ARIB,INDIVIDUAL MEMBERS
Kepler,Kepler Communications GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Keysight Technologies UK Ltd,Keysight Technologies UK Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
KIPO,Korean Intellectual Property Office,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Kontron Transportation France,Kontron Transportation France  S.A.S,FRANCE,ETSI,INDIVIDUAL MEMBERS
Kookmin University,Kookmin University,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Korea Testing Laboratory,Korea Testing Laboratory,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Korea University,Korea University,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
KPN N.V.,Koninklijke KPN N.V.,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
KRRI,Korea Railroad Research Institute,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
KT Corp.,KT Corporation,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Kymeta Corporation,Kymeta Corporation,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Kyocera Corporation,Kyocera Corporation,JAPAN,ARIB,INDIVIDUAL MEMBERS
Kyonggi University,Kyonggi University,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Kyoto University,Kyoto University,JAPAN,ETSI,INDIVIDUAL MEMBERS
L.M. Ericsson Limited,L.M. Ericsson Limited,IRELAND,ETSI,INDIVIDUAL MEMBERS
L3Harris Technologies,L3Harris Technologies,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Langbo,Shanghai Langbo Communication Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Lansus,Lansus Technologies Inc.,CHINA,CCSA,INDIVIDUAL MEMBERS
LEGRAND FRANCE,LEGRAND FRANCE ISERE,FRANCE,ETSI,INDIVIDUAL MEMBERS
Lekha Wireless Solutions,Lekha Wireless Solutions Pvt Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
Lenovo (Beijing) Ltd,Lenovo (Beijing) Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
Lenovo Future Communications,Lenovo Future Communications Technology (Chongqing) Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Lenovo Information Technology,Lenovo (Beijing)  Information Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Leonardo SpA,Leonardo SpA,ITALY,ETSI,INDIVIDUAL MEMBERS
LG Electronics Deutschland,LG Electronics Deutschland GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
LG Electronics Finland,LG Electronics Finland Lab Oy,FINLAND,ETSI,INDIVIDUAL MEMBERS
LG Electronics France,LG Electronics France,FRANCE,ETSI,INDIVIDUAL MEMBERS
LG Electronics Inc.,LG Electronics Inc.,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
LG Electronics Polska,LG Electronics Polska Sp. z.o.o.,POLAND,ETSI,INDIVIDUAL MEMBERS
LG Electronics UK,LG Electronics UK Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
LG Uplus,LG Uplus,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Ligado Networks,Ligado Networks,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
LKA Niedersachsen,Landeskriminalamt Niedersachsen,GERMANY,ETSI,INDIVIDUAL MEMBERS
Lockheed Martin,Lockheed Martin,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Logius,Logius,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
Lynk Global,Lynk Global,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Magister Solutions Ltd,Magister Solutions Ltd,FINLAND,ETSI,INDIVIDUAL MEMBERS
Maketh Secure Limited,Maketh Secure Limited,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Marquis Technologies,Marquis Technologies Pvt Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
Marvell Technology  Inc.,Marvell Technology  Inc.,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
MATRIXX Software,MATRIXX Software  Inc.,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Mavenir,Mavenir Systems  Inc,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
MaxWave Micro,MaxWave Microelectronics Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
MediaTek (Chengdu) Inc.,MediaTek (Chengdu) Inc.,CHINA,CCSA,INDIVIDUAL MEMBERS
MediaTek (Hefei) Inc.,MediaTek (Hefei) Inc.,CHINA,CCSA,INDIVIDUAL MEMBERS
MediaTek (Shenzhen) Inc.,MediaTek (Shenzhen) Inc.,CHINA,CCSA,INDIVIDUAL MEMBERS
MediaTek (Wuhan) Inc.,MediaTek (Wuhan) Inc.,CHINA,CCSA,INDIVIDUAL MEMBERS
MediaTek Beijing Inc.,MediaTek Beijing Inc.,CHINA,CCSA,INDIVIDUAL MEMBERS
MediaTek Finland,MediaTek Wireless Finland Oy,FINLAND,ETSI,INDIVIDUAL MEMBERS
MediaTek Germany GmbH,MediaTek Germany GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
MediaTek Inc.,MediaTek Incorporated,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
Mediatek India Technology Pvt.,Mediatek India Technology Pvt. Ltd.,INDIA,TSDSI,INDIVIDUAL MEMBERS
MediaTek Korea Inc.,MediaTek Korea Inc.,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
MediaTek Sweden AB,MediaTek Sweden AB,SWEDEN,ETSI,INDIVIDUAL MEMBERS
MediaTek Technology USA Inc.,MediaTek Technology USA Inc.,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
MediaTek UK,MTK Wireless Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
MediaTek USA,MediaTek USA,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
MeitY,Ministry of Electronics & Information Technology,INDIA,TSDSI,INDIVIDUAL MEMBERS
Meizu Technology,Meizu Technology,CHINA,CCSA,INDIVIDUAL MEMBERS
Mercedes-Benz AG,Mercedes-Benz AG,GERMANY,ETSI,INDIVIDUAL MEMBERS
Mesaqin.com s.r.o (Ltd.),Mesaqin.com s.r.o (Ltd.),CZECH REPUBLIC,ETSI,INDIVIDUAL MEMBERS
Meta India,Meta India Online Services Pvt Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
Meta Ireland,Meta Platforms Ireland Ltd.,IRELAND,ETSI,INDIVIDUAL MEMBERS
Meta USA,Meta USA,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Microchip Technology  Inc.,Microchip Technology  Inc.,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Microsoft Ireland,Microsoft Ireland Operations Limited,IRELAND,ETSI,INDIVIDUAL MEMBERS
MidWave Wireless,MidWave Wireless,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
MIMIT,Ministry of Enterprises and Made in Italy,ITALY,ETSI,INDIVIDUAL MEMBERS
MinEA,Ministry of Economic Affairs and Climate Policy,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
MINISTERE DE L'INTERIEUR,MINISTERE DE L'INTERIEUR,FRANCE,ETSI,INDIVIDUAL MEMBERS
Ministère Economie et Finances,Ministère de l'Economie et des Finances,FRANCE,ETSI,INDIVIDUAL MEMBERS
Ministry for Digital - Spain,Ministry for Digital Transformation and of Civil Service,SPAIN,ETSI,INDIVIDUAL MEMBERS
Ministry of Transport SR,Ministry of Transport of the Slovak Republic,SLOVAKIA,ETSI,INDIVIDUAL MEMBERS
MITRE Corporation,MITRE Corporation,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
MITRE-FFRDC,MITRE-FFRDC,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Mitsubishi Electric Co.,Mitsubishi Electric Co.,JAPAN,ARIB,INDIVIDUAL MEMBERS
Mitsubishi Electric Corp,Mitsubishi Electric Corporation,JAPAN,TTC,INDIVIDUAL MEMBERS
Mitsubishi Electric RCE,Mitsubishi Electric R&D Centre Europe,FRANCE,ETSI,INDIVIDUAL MEMBERS
Motorola Mobile Com Technology,MOTOROLA MOBILE COMMUNICATION TECHNOLOGY LTD.,CHINA,CCSA,INDIVIDUAL MEMBERS
Motorola Mobility España SA,Motorola Mobility España SA,SPAIN,ETSI,INDIVIDUAL MEMBERS
Motorola Mobility France S.A.S,Motorola Mobility France S.A.S,FRANCE,ETSI,INDIVIDUAL MEMBERS
Motorola Mobility Germany GmbH,Motorola Mobility Germany GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Motorola Mobility UK Ltd.,Motorola Mobility UK Ltd.,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Motorola Solutions Germany,Motorola Solutions Germany GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Motorola Solutions UK Ltd.,Motorola Solutions UK Ltd.,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
MTCC,Mobile Technology Convergence Center,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Murata Manufacturing Co Ltd.,Murata Manufacturing Co Ltd.,JAPAN,ARIB,INDIVIDUAL MEMBERS
MVG Industries,MVG Industries,FRANCE,ETSI,INDIVIDUAL MEMBERS
Nanjing vivo Software Tech.,Nanjing vivo Software Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Nanjing Weibo,Nanjing Weibo Software Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
National Instruments Corp.,National Instruments Corporation,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
National Radio Research Agency,National Radio Research Agency,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
National Spectrum Consortium,National Spectrum Consortium,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
National Technical Assistance,National Technical Assistance Centre,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
nbn co Limited,nbn co Limited (ABN 86 136 533 741),AUSTRALIA,ETSI,INDIVIDUAL MEMBERS
NCI Agency,NATO Communication and Information Agency,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
NCIS,National Criminal Investigation Service,NORWAY,ETSI,INDIVIDUAL MEMBERS
NCSC,National Cyber Security Centre,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
NDRE,National Defence Radio Establishment,SWEDEN,ETSI,INDIVIDUAL MEMBERS
NEC  Corporation,NEC Corporation,JAPAN,ARIB,INDIVIDUAL MEMBERS
NEC Corporation,NEC Corporation,JAPAN,ETSI,INDIVIDUAL MEMBERS
NEC Corporation.,NEC Corporation,JAPAN,TTC,INDIVIDUAL MEMBERS
NEC Europe Ltd,NEC Europe Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
NEC Telecom MODUS Ltd.,NEC Telecom MODUS Ltd.,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
NEMERGENT,NEMERGENT SOLUTIONS SL,SPAIN,ETSI,INDIVIDUAL MEMBERS
NERCDTV,Shanghai National Engineering Research Center of Digital Television Co. Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Netherlands Police,Netherlands Police  Division MDC,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
Netscout Systems Inc.,Netscout Systems Inc.,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Network Rail,Network Rail infrastructure limited,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
New H3C Technologies Co.  Ltd.,New H3C Technologies Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
NextNav,NextNav,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
NHK,NHK (Japan Broadcasting Corporation),JAPAN,ARIB,INDIVIDUAL MEMBERS
NICT,National Institute of Information and Communications Technology,JAPAN,ARIB,INDIVIDUAL MEMBERS
Niral,Niral Networks Private Limited,INDIA,TSDSI,INDIVIDUAL MEMBERS
NIST,National Institute of Standards and Technology,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Nkom,Norwegian Communications Authority,NORWAY,ETSI,INDIVIDUAL MEMBERS
Nokia,Nokia,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
Nokia Belgium,Nokia Bell N.V.,BELGIUM,ETSI,INDIVIDUAL MEMBERS
Nokia Corporation,Nokia Corporation,FINLAND,ETSI,INDIVIDUAL MEMBERS
Nokia Denmark,Nokia Denmark A/S,DENMARK,ETSI,INDIVIDUAL MEMBERS
Nokia France,Nokia Networks France,FRANCE,ETSI,INDIVIDUAL MEMBERS
Nokia Germany,Nokia Solutions and Networks GmbH & Co. KG,GERMANY,ETSI,INDIVIDUAL MEMBERS
Nokia Hungary,Nokia Solutions and Networks Kft.,HUNGARY,ETSI,INDIVIDUAL MEMBERS
Nokia Japan,Nokia Japan,JAPAN,ARIB,INDIVIDUAL MEMBERS
Nokia Korea,Nokia Korea,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Nokia Poland,Nokia Solutions and Networks Sp. z.o.o.,POLAND,ETSI,INDIVIDUAL MEMBERS
Nokia Shanghai Bell,Nokia Shanghai Bell Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
Nokia Solutions & Networks (I),Nokia Solutions and Networks India Pvt. Ltd.,INDIA,TSDSI,INDIVIDUAL MEMBERS
Nokia UK,Nokia UK Ltd.,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Nordic Semiconductor ASA,Nordic Semiconductor ASA,NORWAY,ETSI,INDIVIDUAL MEMBERS
NOVAMINT,NOVAMINT,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
NPL,National Physical Laboratory Management Ltd,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
NTIA,National Telecommunications and Information Administration,UNITED STATES,ATIS,INDIVIDUAL MEMBERS
NTPU,National Taipei University,TAIWAN  PROVINCE OF CHINA,ETSI,INDIVIDUAL MEMBERS
NTT,Nippon Telegraph and Telephone Corporation (NTT),JAPAN,TTC,INDIVIDUAL MEMBERS
NTT corporation,Nippon Telegraph and Telephone Corporation,JAPAN,ETSI,INDIVIDUAL MEMBERS
NTT DOCOMO INC.,NTT DOCOMO INC.,JAPAN,TTC,INDIVIDUAL MEMBERS
NTT DOCOMO INC..,NTT DOCOMO INC.,JAPAN,ARIB,INDIVIDUAL MEMBERS
